feature,original_mean,drift_mean,mean_change_%,original_std,drift_std,std_change_%,abs_mean_change
volatile acidity,0.535515625,0.5375461646016861,0.3791746695880419,0.18057674860717587,0.18770821520662767,3.9492717941031765,0.3791746695880419
fixed acidity,8.245625,8.246437625210017,0.009855228803358193,1.6749995321198992,1.7433724118521807,4.0819641093122,0.009855228803358193
citric acid,0.26346875000000003,0.26346875000000003,0.0,0.19881348427159856,0.19881348427159856,0.0,0.0
residual sugar,2.5346874999999995,2.5346874999999995,0.0,1.5199611948004002,1.5199611948004002,0.0,0.0
chlorides,0.090428125,0.090428125,0.0,0.05059540003113272,0.05059540003113272,0.0,0.0
free sulfur dioxide,15.9921875,15.9921875,0.0,11.381146824324597,11.381146824324597,0.0,0.0
total sulfur dioxide,46.6328125,46.6328125,0.0,31.726056331858473,31.726056331858473,0.0,0.0
density,0.9967506875,0.9967506875,0.0,0.0017323022251374864,0.0017323022251374864,0.0,0.0
pH,3.30709375,3.30709375,0.0,0.1562149992146203,0.1562149992146203,0.0,0.0
sulphates,0.65690625,0.65690625,0.0,0.18519528951520522,0.18519528951520522,0.0,0.0
alcohol,10.36703125,10.36703125,0.0,1.038597189972601,1.038597189972601,0.0,0.0
